69 666 531 715 214 736 
336 553 656 121 708 48 
4 638 328 39 673 227 
378 584 190 15 297 371 
156 46 313 385 702 494 
213 372 655 86 718 456 
451 353 577 15 590 585 
670 642 643 315 529 152 
527 251 152 150 604 603 
569 62 617 734 425 15 
389 93 687 618 673 106 
147 24 134 442 315 458 
671 95 457 347 546 438 
283 66 432 671 591 356 
536 88 622 443 157 253 
30 123 354 86 85 756 
366 448 165 101 358 517 
352 272 613 350 272 727 
292 465 44 90 239 401 
720 673 690 251 202 347 
223 243 712 108 744 186 
